word,score
abai,-3
aktif,2
akurat,4
aman,4
antri,-2
asik,3
awet,3
bangga,4
bantu,4
banyak,2
baru,2
batas,-2
batal,-4
bayar,2
beda,-1
berat,-3
berubah,-1
baik,5
bangkrut,-5
bebas,3
belum,-1
bersih,3
berhasil,4
bingung,-3
blokir,-4
bosan,-3
bot,-2
bug,-5
buruk,-5
canggih,4
cepat,5
cerdas,4
cocok,3
coba,1
curang,-4
detail,2
dukung,4
eror,-5
favorit,4
fleksibel,4
fresh,3
gagal,-5
ganggu,-4
gratis,4
hapus,-3
hemat,4
hebat,5
inovasi,5
interaktif,4
jelek,-5
jujur,4
kacau,-5
kagum,5
kaku,-3
kapok,-4
kecil,-2
kekinian,3
keliru,-3
keluhan,-3
kencang,4
kendala,-3
kecewa,-5
kuat,4
kurang,-2
laku,3
lambat,-5
lancar,5
langganan,3
laris,4
lelet,-4
lengkap,4
loading,-3
mahal,-4
manfaat,4
masalah,-4
menarik,4
ngebut,4
nipu,-5
nyaman,5
nyesal,-4
nyolong,-5
oke,4
optimal,5
parah,-5
pas,3
payah,-4
peduli,4
peka,3
pelit,-4
penting,4
pindah,1
populer,4
praktis,4
promo,4
puas,5
pusing,-4
putus,-4
ragu,-3
rapi,4
rekomendasi,5
